,cluster,url
54,month1_cls17534,https://fr.news.yahoo.com/primaire-l-apos-iowa-bernie-081400883.html
55,month1_cls17534,http://rssfeeds.desmoinesregister.com/~/618085126/0/desmoines/news~Live-coverage-New-Hampshire-primary-updates/
56,month1_cls17534,https://www.registercitizen.com/news/article/Aide-who-testified-against-Trump-likely-out-at-15038486.php
57,month1_cls17534,https://www.boston.com/news/politics/2020/02/07/new-hampshire-democratic-debate
58,month1_cls17534,https://www.myrtlebeachonline.com/news/nation-world/national/article240040868.html#storylink=rss
59,month1_cls17534,https://www.starnewsonline.com/zz/news/20200204/buttigieg-sanders-take-lead-with-first-iowa-caucus-results-but-still-no-winner?rssfeed=true
60,month1_cls17534,https://www.tri-cityherald.com/news/politics-government/national-politics/article240073323.html#storylink=rss
61,month1_cls17534,https://www.newsweek.com/buttigieg-wins-iowa-all-precincts-reporting-sanders-comes-second-1486207?fbclid=IwAR0cPX9SBBSQgE3mg76pJ7MqkB5m4hZMlm7clLjpwmFNTbsjmvf_yzkZEiY
62,month1_cls17534,https://kion546.com/news/politics/2020/02/05/bernie-sanders-wanted-outright-victory-in-iowa-but-he-will-have-to-settle-for-this/
63,month1_cls17534,https://www.centredaily.com/news/politics-government/national-politics/article240108273.html#storylink=rss
64,month1_cls17534,https://www.centredaily.com/news/politics-government/national-politics/article240115688.html#storylink=rss
65,month1_cls17534,https://www.wbal.com/article/434810/124/buttigieg-sanders-nearly-tied-as-iowa-caucus-results-narrow
66,month1_cls17534,https://www.haaretz.com/world-news/wires/1.8506178
67,month1_cls17534,https://www.wral.com/biden-mocks-rival-buttigiegs-record-as-small-city-mayor/18940081/
68,month1_cls17534,http://rssfeeds.wltx.com/~/617481564/0/all-nationnow~The-Iowa-caucuses-are-here-Follow-along-for-live-coverage-from-across-Iowa-and-the-world/
69,month1_cls17534,https://s24526.pcdn.co/wire/nation-world/772118/nh-campaigns-expected-to-shift-into-overdrive-after-debate
70,month1_cls17534,https://www.sunherald.com/news/politics-government/national-politics/article240115918.html#storylink=rss
71,month1_cls17534,https://nymag.com/intelligencer/2020/02/whos-left-as-a-democratic-unity-candidate-maybe-nobody.html
72,month1_cls17534,https://www.ilmessaggero.it/mondo/primarie_iowa_risultati_usa_sanders_warren_buttigieg-5028181.html
73,month1_cls17534,http://feedproxy.google.com/~r/businessinsider/~3/MIh95J0VgGs/joe-biden-conceded-hell-probably-lose-the-new-hampshire-primary-2020-2
74,month1_cls17534,https://www.counton2.com/news/national-news/primary-day-new-hampshire-hopes-to-clarify-unsettled-democratic-contest/
75,month1_cls17534,https://wsvn.com/news/politics/biden-tells-nh-democrats-that-buttigieg-not-a-barack-obama/
76,month1_cls17534,https://www.uticaod.com/ZZ/news/20200207/sanders-buttigieg-seen-as-top-targets-in-dems-nh-debate?rssfeed=true
77,month1_cls17534,https://www.kansascity.com/news/politics-government/national-politics/article240180268.html#storylink=rss
78,month1_cls17534,https://www.4029tv.com/article/new-hampshire-primary-dixville-notch-harts-location-millsfield/30866170
79,month1_cls17534,https://knpr.org/npr/2020-01/caucus-day-nears-iowa-voters-guided-big-health-care-changes
80,month1_cls17534,https://newsinfo.inquirer.net/1230206/who-warns-against-virus-over-reaction-as-death-toll-hits-1868
81,month1_cls17534,https://www.vindy.com/news/latest-news/2020/02/fri-951-a-m-new-virus-has-infected-more-than-76000-people-globally/
82,month1_cls17534,https://www.belfasttelegraph.co.uk/news/world-news/passengers-start-leaving-diamond-princess-38970607.html
83,month1_cls17534,"https://www.ntv.com.tr/dunya/idlibde-turk-askerine-saldiriya-dunyadan-tepki,CIox_I1Y102uVMoZ7RyT2w"
84,month1_cls17534,http://world.huanqiu.com/exclusive/2020-02/16059125.html
85,month1_cls17534,https://www.egyptindependent.com/cruise-stranded-by-virus-fears-ends-with-roses-in-cambodia/
86,month1_cls17534,http://feeds.reuters.com/~r/Reuters/worldNews/~3/x2BGc3iIN00/japan-plans-hiv-drug-trials-for-coronavirus-cruise-ship-evacuations-continue-idUSKBN20C02C
87,month1_cls17534,https://fr.news.yahoo.com/coronavirus-nombre-nouveaux-cas-chine-071634406.html
88,month1_cls17534,https://www.timesonline.com/ZZ/news/20200220/weather-and-protests-hamper-ukraine-quarantine-efforts?rssfeed=true
89,month1_cls17534,https://www.france24.com/en/20200218-china-says-mainland-death-toll-from-coronavirus-reaches-almost-1-900?ref=tw
90,month1_cls17534,https://www.lexpress.fr/actualite/monde/asie/nouveau-coronavirus-32-passagers-britanniques-et-europeens-rapatries-par-le-royaume-uni_2119060.html
91,month1_cls17534,https://www.metro.pr/pr/noticias/2020/02/16/mas-100-alemanes-evacuados-china-terminan-cuarentena.html
92,month1_cls17534,https://noticias24pty.com/estados-unidos-evacuo-un-crucero-en-japon-por-el-coronavirus-que-deja-mil-770-muertos-en-china/
93,month1_cls17534,https://www.lesechos.fr/monde/chine/0602780210708-coronavirus-pres-de-11700-morts-dans-le-monde-et-un-12e-cas-en-france-2327868.php#xtor=RSS-2053
94,month1_cls17534,https://www.journaldebangui.com/coronavirus-pres-de-1-900-morts-loms-contre-toute-mesure-disproportionnee/
95,month1_cls17534,https://www.milenio.com/ciencia-y-salud/oms-va-contra-suspension-de-cruceros-por-coronavirus
96,month1_cls17534,https://www.dhnet.be/actu/monde/coronavirus-la-barre-des-1000-morts-franchie-l-oms-evoque-une-tres-grave-menace-pour-le-monde-5e42b04cf20d5a5365ca9f7b
97,month1_cls17534,https://www.theolympian.com/news/nation-world/article240382176.html#storylink=rss
98,month1_cls17534,https://www.newschief.com/ZZ/news/20200220/2-more-russians-on-cruise-ship-diagnosed-with-virus?rssfeed=true
99,month1_cls17534,https://www.inquisitr.com/5904233/russia-interference-2020-elections/
100,month2_cls17534,https://www.timesonline.com/ZZ/news/20200304/latest-biden-pledges-unity-as-nomination-fight-narrows?rssfeed=true
101,month2_cls17534,http://www.kitv.com/story/41848048/joe-biden-takes-aim-at-front-runner-bernie-sanders-on-super-tuesday
102,month2_cls17534,https://armenpress.am/rus/news/1007224/
103,month2_cls17534,https://www.theblaze.com/news/despite-weak-super-tuesday-showing-warren-asks-supporters-to-help-keep-up-the-momentum
104,month2_cls17534,https://www.ktsa.com/pete-buttigieg-to-endorse-joe-biden-at-rally-ahead-of-super-tuesday/
105,month2_cls17534,http://feeds.reuters.com/~r/reuters/UKBankingFinancial/~3/DTgoIoQ6kXg/scared-of-sanders-presidency-wall-street-dems-double-down-on-moderates-idUSL1N2AW1J1
106,month2_cls17534,https://www.onlineathens.com/zz/news/20200303/state-by-state-breakdown-of-what-to-watch-for-on-super-tuesday-where-15-contests-are-up-for-grabs?rssfeed=true
107,month2_cls17534,https://www.airelibre.com.ar/2020/03/12/los-modulos-alimentarios-y-los-kits-escolares-se-entregaran-puerta-a-puerta/
108,month2_cls17534,https://www.miamiherald.com/news/article240817866.html#storylink=rss
109,month2_cls17534,https://www.krmg.com/news/national/special-delivery-fedex-driver-finds-lost-dog-returns-her-colorado-home/nrPlRmIXjaxDav3wlbPmnJ/
110,month2_cls17534,https://www.krmg.com/news/national/star-wars-fan-gets-bionic-arm-decorated-like-after-getting-noticed-mark-hamill/n7lKYGMefIlO1Zmlgz768L/
111,month2_cls17534,https://www.houmatoday.com/ZZ/news/20200306/latest-biden-gains-new-endorsements-from-moderate-dems?rssfeed=true
112,month2_cls17534,https://www.standard.co.uk/news/world/south-carolina-primary-joe-biden-win-bernie-sanders-a4375171.html
113,month2_cls17534,https://www.bellinghamherald.com/news/business/national-business/article240865001.html#storylink=rss
114,month2_cls17534,https://www.bellinghamherald.com/news/politics-government/election/article240858216.html#storylink=rss
115,month2_cls17534,https://www.bellinghamherald.com/news/business/national-business/article240858901.html#storylink=rss
116,month2_cls17534,http://rssfeeds.detroitnews.com/~/619297664/0/detroit/home~Game-on-Biden-Sanders-tout-strengths-heading-into-Super-Tuesday/
117,month2_cls17534,https://truthout.org/articles/it-took-joe-biden-32-years-and-3-presidential-campaigns-to-win-one-primary/
118,month2_cls17534,https://mynorthwest.com/1744581/warren-bets-on-brokered-convention-will-she-last-that-long/
119,month2_cls17534,https://www.fox21news.com/news/election/bloomberg-drops-out-of-presidential-race-endorses-biden/
120,month2_cls17534,http://feeds.examiner.ie/~r/ieworld/~3/D_-9bcw9nsI/us-deal-may-be-at-hand-to-ease-economic-pain-of-coronavirus-989872.html
121,month2_cls17534,https://www.chieftain.com/zz/news/20200325/senators-reach-deal-on-2-trillion-stimulus-bill-will-pass-today-mcconnell-says?rssfeed=true
122,month2_cls17534,https://www.wvtm13.com/article/white-house-senate-reach-historic-dollar2-trillion-stimulus-deal-amid-growing-coronavirus-fears-1/31921699
123,month2_cls17534,https://www.ocala.com/ZZ/news/20200320/congress-white-house-race-to-draft-1t-rescue-package?rssfeed=true
124,month2_cls17534,https://www.vol.at/erster-corona-fall-der-nba-spendet-halbe-million-us-dollar/6555059
125,month2_cls17534,http://feeds.crainsnewyork.com/~r/crainsnewyork/latestnews/~3/P9fG0SSpYIE/senate-passes-virus-relief-bill-plans-even-bigger-stimulus
126,month2_cls17534,https://www.fox16.com/news/coronavirus/senate-unanimously-passes-massive-coronavirus-aid-plan/
127,month2_cls17534,https://www.heraldtribune.com/ZZ/news/20200321/mcconnell-very-close-on-rescue-package-topping-1t?rssfeed=true
128,month2_cls17534,https://www.theday.com/national-politics/20200327/updated-trump-signs-22-trillion-coronavirus-rescue-package
129,month2_cls17534,https://www.fltimes.com/news/nation/commentary-actually-getting-the-coronavirus-stimulus-bill-right-would-be/article_8571a4eb-3a3e-5ff2-b394-c521fdc49f93.html
130,month2_cls17534,https://www.forbes.com/sites/lisettevoytko/2020/03/25/senate-passes-stimulus-bill-amid-economic-fallout-from-coronavirus/
131,month2_cls17534,https://wsvn.com/news/politics/ap-sources-white-house-seeks-850-billion-economic-stimulus/
132,month2_cls17534,https://www.palmbeachpost.com/ZZ/news/20200320/congress-toils-on-1-trillion-rescue-trump-unleashes-fury?rssfeed=true
133,month2_cls17534,https://www.businessinsider.in/stock-market/news/deal-on-a-roughly-2-trillion-coronavirus-stimulus-package-reached-between-the-senate-and-white-house-including-cutting-checks-to-americans/articleshow/74805238.cms
134,month2_cls17534,https://www.krqe.com/news/politics/income-tax-filing-deadline-moved-to-july-15-from-april-15/
135,month2_cls17534,https://www.scpr.org/news/2020/03/25/91389/white-house-senate-agree-to-2-trillion-coronavirus/
136,month2_cls17534,https://www.leavenworthtimes.com/ZZ/news/20200321/congress-toils-on-1-trillion-rescue-trump-unleashes-fury?rssfeed=true
137,month2_cls17534,https://www.cbsnews.com/news/congress-and-white-house-agree-on-2-trillion-coronavirus-aid-package/
138,month2_cls17534,https://www.timesfreepress.com/news/national/political/story/2020/mar/25/talks-2-trillion-bill-ease-economic-pain-coronavirus-drag/519019/
139,month2_cls17534,https://thedailyrecord.com/2020/03/24/congress-closing-in-on-nearly-2-trillion-virus-aid-package/
140,month2_cls17534,https://www.blufftontoday.com/ZZ/news/20200302/latest-buttigieg-formally-announces-biden-endorsement?rssfeed=true
141,month2_cls17534,https://www.staugustine.com/ZZ/news/20200303/super-tuesday-marks-first-major-security-test-of-2020?rssfeed=true
142,month2_cls17534,http://www.kitv.com/story/41848048/joe-biden-takes-aim-at-front-runner-bernie-sanders-on-super-tuesday
143,month2_cls17534,https://armenpress.am/rus/news/1007224/
144,month2_cls17534,https://www.cleveland.com/open/2020/03/joe-biden-to-visit-cleveland-and-columbus-tuesday.html
